Количество чугуна (т),Удельный расход кокса (кг/т),Расход холодного дутья (м³/ч),t горячего дутья (°С),Расход природного газа (м³/ч),t природного газа (°С),Содержание кислорода в дутье (%),Расход пара на увлажнение (т/ч),Перепад давлений общий (ат),t чугуна на выпуске (лётка 1) (°С),t чугуна на выпуске (лётка 2) (°С),Давление колошникового газа (ат),Перепад давлений нижний (ат),Перепад давлений верхний (ат),Выход колошникового газа (м³/ч),Положение клапана малый снорт (%),t колошникового газа 1 (°С),t колошникового газа 2 (°С),t колошникового газа 3 (°С),t колошникового газа 4 (°С),t колошникового газа в пылеуловителе (°С),Уровень засыпи (запад) (м),Уровень засыпи (восток) (м),CO в колошниковом газе (%),CO₂ в колошниковом газе (%),H₂ в колошниковом газе (%),t периферийных газов 1 (°С),t периферийных газов 2 (°С),t периферийных газов 3 (°С),t периферийных газов 4 (°С),t периферийных газов 5 (°С),t периферийных газов 6 (°С),Уровень засыпи (север) (м),Уровень засыпи (юг) (м),N₂ в колошниковом газе (%),Шлак,Чугун.Cr,Чугун.Mn,Чугун.P,Чугун.S,Чугун.Si,Чугун.Ti,Чугун.V,Чугун.C,Шлак.Al₂O₃,Шлак.CaO,Шлак.FeO,Шлак.Ko,Шлак.MgO,Шлак.MnO,Шлак.NaO,Шлак.S,Шлак.SiO₂,Шлак.TiO₂,Бар М10,Бар М25,Влага,Зола,Кокс +80 мм,Кокс -25 мм,Кокс 40-25 мм,Кокс 60-40 мм,Кокс 80-60 мм,Летучие,Сера К,Углерод,CRI,CSR,Fe,FeO,S,SiO₂,CaO,MgO,Al₂O₃,TiO₂,Osn,P,Zn,Cr,MnO,O₂ в горячем дутье,Доля агломерата,Колошниковый газ (CO₂),Колошниковый газ (CO),Колошниковый газ (H₂)
4359.847,457.062565,214677.1855,1055.686386,15916.95805,14.13750247,26.30299997,0.145087693,1.263071174,1426.482414,1480.095667,1.399045542,0.961892361,0.290097225,307399.0456,0.88647679,169.7802537,175.3435351,207.1397826,177.2238948,173.0923462,1.007742244,1.336937388,24.77271159,18.15971875,6.208880941,259.6821658,358.4418411,495.0822461,421.4838346,548.7008858,281.2586702,1.117373658,1.125764117,49.79668156,1518.450001,0.039307692,0.30914286,0.061428572,0.0197,1.232071425,0.061153846,0.105599999,4.75,11.38333337,37.18799973,0.221833331,1.125166674,9.128333251,0.242000006,1.098166664,0.681333333,38.1666673,0.973500003,9.225000143,87.12500191,3.774999976,12.94999981,33.97500086,1.450000018,4.199999928,22.5,37.875,1.299999952,0.529999971,83.33000183,32.0,54.5,54.7380955,10.0380953,0.057575397,6.242579349,11.76646833,2.05484126,1.700476197,0.273174603,1.885476182,0.027623016,0.031146826,0.023928571,0.297420633,27.3333327,0.603,18.73333359,25.16666667,7.333333333
4425.385,450.1093358,214572.0651,1063.769384,15998.28292,14.47928015,26.50044982,0.131810737,1.251254395,1405.902726,1479.19458,1.402113413,0.961920254,0.278332569,309399.2344,0.767838753,169.7440344,173.2472515,197.4264978,169.7173907,170.4123592,1.212071454,1.609969397,24.61824044,18.92047405,6.348797282,339.5336469,341.1164398,397.3094432,386.9786339,454.2778816,218.6600933,1.348689715,1.125764117,48.95452293,1661.699997,0.039692307,0.297250004,0.066528572,0.017714286,0.646333333,0.083866667,0.105599999,4.710000038,11.30000003,37.09999975,0.272999999,0.961499999,8.873999977,0.32016667,1.105333328,0.681333333,38.25333277,0.844000002,9.299999952,86.625,4.125000119,12.95000005,34.30000019,1.50000003,3.774999917,21.1500001,39.27499962,1.274999976,0.550000012,83.09999847,32.0,54.40000153,54.29285685,9.959523859,0.052928572,6.45166665,12.06166658,2.02404759,1.617857144,0.253095238,1.870238091,0.026238096,0.03047619,0.022357143,0.280000002,27.23333359,0.602,18.6666673,25.60000038,7.399999936
4372.657,464.1847051,216907.276,1060.716365,15984.38981,14.4863259,26.51146475,0.117763162,1.266771401,1412.283513,1512.539028,1.405439595,0.978648144,0.277030094,311839.3307,0.860557981,165.3018277,166.5004304,197.47494,167.8653571,167.9752108,1.033959364,1.43456389,24.84685524,18.28812393,6.356897473,497.7648595,350.8000946,421.9013913,366.8908501,474.51629,255.6536414,1.173402833,1.199508026,49.30822817,1676.024994,0.039307692,0.297692306,0.0575,0.014857143,1.093799996,0.107363637,0.088538462,4.710000038,10.4016668,37.36166573,0.221833331,0.961499999,8.948333422,0.305166662,1.098166664,0.727499992,38.60833359,0.836999993,9.150000095,87.52500153,3.775000036,13.0999999,37.05000019,1.300000042,3.575000048,20.30000019,37.77500057,1.25,0.550000012,83.06999969,31.89999962,54.59999847,54.07027892,9.634984526,0.060156347,6.48856034,12.31359136,2.068560339,1.646826624,0.254659441,1.898095966,0.026314242,0.029332818,0.02200774,0.269654607,27.16666667,0.603,18.66666667,25.23333359,7.566666762
4447.549,455.028522,217341.6706,1058.044291,15975.46354,15.82185074,26.62238797,0.128866268,1.287074645,1405.132286,1483.367116,1.396190211,0.990443289,0.285576392,312108.1797,3.498224877,157.9269892,159.5593993,189.9625702,160.2662824,164.4674625,1.019543054,1.3131452,25.10142938,18.58919326,6.440775017,332.9551913,278.5350062,348.9691111,310.7734807,417.4035568,216.7767092,1.122213999,1.125764117,48.74214888,1590.074989,0.038153846,0.285076925,0.078909092,0.0194,0.68407143,0.064214286,0.0918125,4.710000038,11.30000003,37.18799973,0.272999999,1.065800011,8.948333422,0.295400003,1.185833315,0.660000006,38.35166677,0.973500003,9.349999905,87.17499733,4.099999964,12.95000005,35.84999943,1.700000018,3.449999988,19.9000001,39.09999943,1.324999958,0.540000021,82.94999695,32.09999847,54.29999924,54.03982441,9.879824392,0.063708772,6.526561392,12.39850869,2.037526315,1.679385954,0.261315789,1.900649113,0.026508772,0.030535088,0.023970176,0.279666666,26.83333333,0.605,18.43333308,26.09999975,7.566666603
4441.511,467.2329351,223169.5814,1060.088181,15999.31665,18.93565452,26.3542157,0.129628953,1.259817556,1397.118019,1470.380664,1.402065729,0.960610303,0.287709514,319017.8099,1.306532192,149.8055305,152.1454639,190.8050772,150.3326537,157.2845561,0.825334946,1.204588617,25.06148998,18.90713294,5.973494152,258.9640071,345.260416,408.6715775,301.1186447,460.531086,211.3644606,0.951919752,1.002152209,49.1039141,1418.174995,0.039692307,0.299800001,0.0594375,0.014857143,0.68407143,0.068785714,0.092785714,4.639999866,10.86166668,37.18799973,0.229166667,1.046999981,8.861666679,0.290833334,0.999166667,0.716499984,39.81166649,0.801666657,8.833333333,87.43333435,4.066666603,12.96666654,33.86666679,1.366666675,3.633333365,20.79999987,40.33333333,1.333333294,0.519999981,83.33999634,31.70000076,55.09999847,54.21924351,9.937664506,0.063483553,6.389358533,12.21613482,2.035855244,1.660082242,0.254457236,1.911628279,0.024758224,0.030445724,0.023131579,0.285345394,27.0,0.602,18.86666616,25.93333308,7.633333365
4364.703,463.8710556,220511.5299,1049.288605,15999.05245,20.05496665,26.38658174,0.131606446,1.268897558,1414.822559,1524.796502,1.398346831,0.968049775,0.289201969,314490.7031,0.720365276,163.9714603,167.2053833,203.1472905,165.235501,169.7895482,0.803557689,1.137158739,25.48451058,18.03635267,5.879651924,277.390576,365.2706337,472.9549115,372.3390808,530.2673683,272.4031741,0.890690853,0.918536685,49.66741085,1532.775002,0.0374,0.285733336,0.0594375,0.0181875,0.798562497,0.068785714,0.105599999,4.78000021,11.38333337,36.55333328,0.229166667,0.961499999,8.575000127,0.285666664,1.089199996,0.727499992,38.9166673,0.809666673,9.23333327,86.96666718,3.800000012,12.92499995,41.10000102,1.633333365,3.466666619,16.93333308,36.86666743,1.275000006,0.519999981,82.98000336,32.0,54.5,54.21319442,9.767361055,0.064256944,6.401875029,12.20781254,2.026180545,1.690381938,0.248958329,1.908263884,0.024434028,0.029677083,0.023059028,0.279583333,26.66666667,0.608,18.33333397,26.13333384,7.533333302
4367.324,482.7300525,220923.6152,1054.393341,15973.74996,19.95819787,26.23671699,0.137896379,1.266697327,1418.79507,1494.217563,1.399129222,0.965557297,0.289710647,315734.0247,1.858972852,166.0919711,164.9540272,200.806811,162.840161,169.7780692,0.794430435,1.124085983,25.61262822,17.91985591,6.031275551,340.2299334,367.302522,488.4246597,380.4516589,579.3675817,289.1304448,0.882425924,0.909628582,49.55141862,1590.074989,0.036428572,0.295230765,0.0575,0.016153846,1.982636354,0.065466666,0.100785713,4.610000134,11.19166676,36.55333328,0.237333332,0.708749995,8.861666679,0.320666666,1.185833315,0.713833342,39.81166649,0.973500003,9.174999952,87.25000191,4.099999964,13.07500005,37.92500019,1.600000024,3.650000036,20.12499952,36.69999981,1.324999958,0.519999981,83.47000122,31.89999962,54.59999847,54.20018793,9.939285683,0.06850564,6.399473662,12.2153008,2.104924816,1.716766923,0.253853383,1.908740601,0.024281955,0.03325,0.023646616,0.291936091,26.43333308,0.603,18.70000013,26.16666667,7.533333302
4441.282,465.4443866,221314.0749,1059.222519,15926.18811,17.07380168,26.42364208,0.15181472,1.282915766,1411.025033,1495.07677,1.402558049,0.979569495,0.292286105,318980.8815,1.071667204,167.4798559,170.1532338,205.2296416,163.748771,173.027024,0.802835979,1.159274752,25.72782715,17.9705116,6.49054273,335.9635569,413.8389994,469.3056717,348.9356728,539.2695541,247.7438997,0.913373657,0.927060562,48.92853324,1547.099995,0.038153846,0.285733336,0.078909092,0.0194,1.232071425,0.0690625,0.100785713,4.579999924,10.4016668,37.09999975,0.220333333,0.708749995,8.694999854,0.340666667,1.054499994,0.684500009,38.60833359,0.809666673,9.03333346,87.16666412,3.966666619,13.20000013,35.86666743,1.533333341,3.299999952,19.76666641,39.5333341,1.299999992,0.540000021,82.88999939,31.79999924,54.79999924,54.38925434,10.04089914,0.067244517,6.353706117,12.15497812,2.081425427,1.725285098,0.246381577,1.913618409,0.023673246,0.031666667,0.024067983,0.292730265,26.56666692,0.603,18.63333257,26.36666679,7.800000191
4549.185,457.7394281,221211.9238,1059.723658,15927.74556,17.13961498,26.4654158,0.168450552,1.284396668,1405.772987,1490.140625,1.402096192,0.984514748,0.288966494,320374.668,1.602409539,154.3950055,153.1009337,193.2663352,151.5160205,161.3314406,0.809217192,1.126419177,25.31057628,18.30117369,5.944629808,281.8077259,320.4058431,453.492157,311.9227613,469.4226735,249.1297054,0.897190794,0.916820516,49.52510786,1418.174995,0.0391875,0.285733336,0.066528572,0.017466667,1.093799996,0.064214286,0.088538462,4.480000019,11.30000003,38.22500102,0.236833336,1.125166674,8.694999854,0.290833334,1.054499994,0.671599984,38.25333277,0.977500002,9.050000191,86.95000076,3.425000012,13.1500001,31.87499952,1.37500003,4.5,24.92500019,37.32499981,1.349999964,0.50999999,83.26000214,31.79999924,54.79999924,54.47937539,10.00124997,0.070287501,6.304874954,12.11737491,2.141124999,1.727937495,0.253437499,1.920812472,0.02398125,0.03235,0.02239375,0.293250003,26.6666673,0.601,18.66666667,26.16666667,7.600000064
4523.315,458.3207367,219527.5983,1059.709056,15999.22868,12.06532753,26.78472408,0.181340492,1.27666606,1393.020921,1476.270761,1.39796932,0.968595495,0.297131948,319666.526,1.420227547,155.5896358,157.7211596,194.8013859,155.5661469,161.9048176,0.801854454,1.100611165,24.58315102,18.78994203,5.823488434,246.5453142,309.2421761,437.0630137,289.4257609,437.8122025,212.339297,0.888937843,0.898387032,49.7214516,1676.024994,0.039692307,0.292818183,0.059066667,0.017636364,1.232071425,0.0690625,0.096076923,4.800000191,11.30000003,38.22500102,0.220333333,0.708749995,9.24333334,0.285666664,1.089199996,0.681333333,39.61750031,0.750500008,8.875,87.65000153,4.324999928,13.10000014,24.57499981,1.675000012,4.875,28.30000019,40.57499981,1.324999958,0.519999981,83.13999939,31.70000076,55.0,54.43055524,9.893055638,0.069055555,6.384444455,12.05361116,2.142638875,1.761944438,0.247361107,1.888333327,0.024194445,0.032208333,0.022791667,0.297361114,26.40000025,0.591,19.59999975,26.33333397,7.633333206
