Количество чугуна (т),Перепад давлений общий (ат),Перепад давлений нижний (ат),Расход природного газа (м³/ч),Расход холодного дутья (м³/ч),Выход колошникового газа (м³/ч),Колошниковый газ (H₂),O₂ в горячем дутье,t колошникового газа 2 (°С),t колошникового газа 1 (°С),Уровень засыпи (север) (м),t периферийных газов 5 (°С),t колошникового газа 4 (°С),t колошникового газа 3 (°С),Уровень засыпи (запад) (м),Уровень засыпи (восток) (м)
4359.847,1.263071174,0.961892361,15916.95805,214677.1855,307399.0456,7.333333333,27.3333327,175.3435351,169.7802537,1.117373658,548.7008858,177.2238948,207.1397826,1.007742244,1.336937388
4425.385,1.251254395,0.961920254,15998.28292,214572.0651,309399.2344,7.399999936,27.23333359,173.2472515,169.7440344,1.348689715,454.2778816,169.7173907,197.4264978,1.212071454,1.609969397
4372.657,1.266771401,0.978648144,15984.38981,216907.276,311839.3307,7.566666762,27.16666667,166.5004304,165.3018277,1.173402833,474.51629,167.8653571,197.47494,1.033959364,1.43456389
4447.549,1.287074645,0.990443289,15975.46354,217341.6706,312108.1797,7.566666603,26.83333333,159.5593993,157.9269892,1.122213999,417.4035568,160.2662824,189.9625702,1.019543054,1.3131452
4441.511,1.259817556,0.960610303,15999.31665,223169.5814,319017.8099,7.633333365,27.0,152.1454639,149.8055305,0.951919752,460.531086,150.3326537,190.8050772,0.825334946,1.204588617
4364.703,1.268897558,0.968049775,15999.05245,220511.5299,314490.7031,7.533333302,26.66666667,167.2053833,163.9714603,0.890690853,530.2673683,165.235501,203.1472905,0.803557689,1.137158739
4367.324,1.266697327,0.965557297,15973.74996,220923.6152,315734.0247,7.533333302,26.43333308,164.9540272,166.0919711,0.882425924,579.3675817,162.840161,200.806811,0.794430435,1.124085983
4441.282,1.282915766,0.979569495,15926.18811,221314.0749,318980.8815,7.800000191,26.56666692,170.1532338,167.4798559,0.913373657,539.2695541,163.748771,205.2296416,0.802835979,1.159274752
4549.185,1.284396668,0.984514748,15927.74556,221211.9238,320374.668,7.600000064,26.6666673,153.1009337,154.3950055,0.897190794,469.4226735,151.5160205,193.2663352,0.809217192,1.126419177
4523.315,1.27666606,0.968595495,15999.22868,219527.5983,319666.526,7.633333206,26.40000025,157.7211596,155.5896358,0.888937843,437.8122025,155.5661469,194.8013859,0.801854454,1.100611165
4276.907,1.231369297,0.941940933,15631.42078,213644.5671,305275.8867,7.599999905,26.46666718,164.8884207,156.2313258,1.272924895,426.7936452,159.5280056,190.8316472,1.198365591,1.520633404
4393.412,1.279914672,0.986926777,15998.24337,217516.6211,314590.5534,7.5,26.5,171.1728999,163.6202717,1.069224675,422.5904071,165.124361,202.1624686,0.996863015,1.311867903
4286.007,1.27863427,1.002796886,15338.16911,213989.5423,307390.3698,7.333333333,26.16666667,174.5486291,168.0618699,1.276018555,375.492705,165.5917072,200.5747929,1.174653088,1.510454511
4377.863,1.277098338,1.007834251,15498.35885,219926.054,314405.7435,7.300000032,26.70000076,156.0816746,163.6839174,1.05236986,405.8891271,155.754027,192.8091513,0.983820242,1.282256568
