Удельный расход кокса (кг/т),Уровень засыпи (восток) (м),Уровень засыпи (запад) (м),Перепад давлений нижний (ат),Выход колошникового газа (м³/ч),Колошниковый газ (H₂),Расход холодного дутья (м³/ч),Перепад давлений общий (ат),Расход природного газа (м³/ч)
457.062565,1.336937388,1.007742244,0.961892361,307399.0456,7.333333333,214677.1855,1.263071174,15916.95805
450.1093358,1.609969397,1.212071454,0.961920254,309399.2344,7.399999936,214572.0651,1.251254395,15998.28292
464.1847051,1.43456389,1.033959364,0.978648144,311839.3307,7.566666762,216907.276,1.266771401,15984.38981
455.028522,1.3131452,1.019543054,0.990443289,312108.1797,7.566666603,217341.6706,1.287074645,15975.46354
467.2329351,1.204588617,0.825334946,0.960610303,319017.8099,7.633333365,223169.5814,1.259817556,15999.31665
463.8710556,1.137158739,0.803557689,0.968049775,314490.7031,7.533333302,220511.5299,1.268897558,15999.05245
482.7300525,1.124085983,0.794430435,0.965557297,315734.0247,7.533333302,220923.6152,1.266697327,15973.74996
465.4443866,1.159274752,0.802835979,0.979569495,318980.8815,7.800000191,221314.0749,1.282915766,15926.18811
457.7394281,1.126419177,0.809217192,0.984514748,320374.668,7.600000064,221211.9238,1.284396668,15927.74556
458.3207367,1.100611165,0.801854454,0.968595495,319666.526,7.633333206,219527.5983,1.27666606,15999.22868
473.6114346,1.520633404,1.198365591,0.941940933,305275.8867,7.599999905,213644.5671,1.231369297,15631.42078
462.6440368,1.311867903,0.996863015,0.986926777,314590.5534,7.5,217516.6211,1.279914672,15998.24337
463.3545839,1.510454511,1.174653088,1.002796886,307390.3698,7.333333333,213989.5423,1.27863427,15338.16911
462.2951995,1.282256568,0.983820242,1.007834251,314405.7435,7.300000032,219926.054,1.277098338,15498.35885
466.2326204,1.431009819,1.088644904,0.917518303,304988.0245,7.533333302,207248.3172,1.170359361,13750.69012
472.3768745,1.334327946,1.019098317,1.02678065,306198.9805,7.566666603,218109.2988,1.3122934,15447.89457
469.3775883,1.489052643,1.14578603,1.02396208,305010.8503,7.5,214052.5762,1.305003484,15121.99556
483.1288754,2.018342227,1.627826939,0.801311884,273933.6347,7.25,187423.738,1.031318916,12084.3754
481.0581777,1.459950248,1.125581478,1.010223947,289797.8477,7.566666603,219317.6302,1.304494212,15057.48389
480.5000928,1.519059395,1.182463246,1.020420986,291266.5208,7.600000064,213089.9661,1.318189522,14772.27698
470.9074778,2.214037766,1.937923526,0.920816441,257173.32,7.46666654,194424.8564,1.182640853,13659.95451
451.3280711,1.779151231,1.394450337,0.943785792,287506.056,7.666666667,210080.2487,1.222002447,14403.46704
464.8895347,1.638081456,1.242851039,0.957399021,305538.974,7.566666762,217567.0527,1.25206394,14571.80164
472.2717758,1.315184695,0.972201012,0.990395837,308745.0508,7.533333302,217824.3021,1.297037025,15705.56966
473.8259165,1.406859487,1.100587159,1.006137826,303530.3542,7.699999968,214066.8366,1.298449039,15587.75952
450.7210306,1.528708711,1.212133907,0.988729162,282828.3099,7.899999936,204246.0957,1.27519616,14499.60758
476.3933712,1.580631435,1.264468576,0.969887366,299493.2487,7.400000095,214381.474,1.253050968,14499.646
484.2066847,2.508715853,2.097697347,0.870230722,269634.8216,7.466666698,197953.9264,1.13148879,13911.43087
521.3182864,1.815688834,1.449765682,0.896760414,278942.1921,7.76666673,203551.5898,1.160274307,14157.43494
482.7373683,2.28116931,1.791452115,0.702191261,229254.9583,6.850000143,184372.166,0.98872338,11130.20711
459.6107484,2.961962625,2.375676592,0.685907407,217198.0275,6.699999968,174241.1704,0.944014755,10005.13707
