id,sex,age,city,country,followers_count,last_seen,costs,games
19,Женский,21,Санкт-Петербург,Россия,39326,03.09.2022,25000,"['Dota 2', 'CS:GO', 'Warcraft III']"
510,Мужской,41,,Россия,19698,24.08.2022,50000,"['League of Legends', 'Valorant', 'Apex Legends']"
674,Мужской,47,Новосибирск,Россия,,03.09.2022,75000,['Fortnite']
1018,Мужской,24,Санкт-Петербург,Россия,,19.02.2021,100000,"['PUBG', 'Hearthstone', 'Overwatch']"
1586,Мужской,37,,Россия,31433,27.04.2021,100000,['FIFA']
1699,Мужской,30,Москва,Россия,64917,18.01.2022,100000,"['StarCraft 2', 'Warface', 'Free Fire']"
1775,Мужской,47,Москва,Россия,,03.09.2022,25000,"['Dota Underlords', 'Quake Champions', 'Heroes of the Storm']"
1852,Мужской,37,Москва,Россия,926,19.05.2020,25000,['Dota 2']
2022,Мужской,47,Москва,Россия,140969,03.09.2022,25000,['CS:GO']
3006,Мужской,47,Саратов,Россия,32364,14.07.2022,25000,['Warcraft III']
3422,Мужской,26,Санкт-Петербург,Россия,5835,24.08.2022,25000,['League of Legends']
3443,Мужской,37,Санкт-Петербург,Россия,1581,03.09.2022,25000,['Valorant']
3450,Мужской,21,Москва,Россия,40658,24.06.2022,25000,['Apex Legends']
4234,Мужской,26,Foster City,США,,03.09.2022,118080,['PUBG']
4236,Мужской,27,Донецк,Украина,6028,03.09.2022,25000,['Hearthstone']
4689,Мужской,40,Москва,Россия,17611,03.09.2022,25000,['Overwatch']
4731,Мужской,39,Санкт-Петербург,Россия,60514,28.06.2022,25000,['StarCraft 2']
5394,Мужской,28,Саратов,Россия,20276,03.09.2022,25000,['Warface']
6403,Мужской,40,Санкт-Петербург,Россия,,30.08.2022,25000,['Free Fire']
7226,Женский,40,,Россия,22127,01.09.2022,25000,['Dota Underlords']
7408,Женский,47,Москва,Россия,,03.09.2022,25000,['Quake Champions']
7579,Мужской,47,Санкт-Петербург,Россия,,03.09.2022,25000,['Heroes of the Storm']
7982,Женский,40,Москва,Россия,112016,03.09.2022,25000,"['Warcraft III', 'StarCraft 2']"
8074,Мужской,40,Москва,Россия,971,03.09.2022,25000,"['Dota 2', 'CS:GO']"
8244,Мужской,39,Санкт-Петербург,Россия,,03.09.2022,25000,"['Dota 2', 'Dota Underlords']"
8298,Мужской,24,Нижний Новгород,Россия,18470,13.03.2017,25000,['CS:GO']
8436,Женский,24,,Россия,29648,31.08.2022,25000,['CS:GO']
8485,Мужской,28,Рязань,Россия,3122,03.09.2022,25000,['Dota 2']
8727,Мужской,24,,Россия,17302,03.09.2022,25000,['Dota 2']
8736,Мужской,24,Санкт-Петербург,Россия,,03.09.2022,25000,['Dota 2']
8752,Мужской,21,Ивано-Франковск,Украина,,02.09.2022,25000,['Dota 2']
9110,Мужской,47,Санкт-Петербург,Россия,,03.09.2022,100000,['Dota 2']
